datetime,PM2.5
2024-01-01 00:00:00,26.49
2024-01-01 01:00:00,28.77
2024-01-01 02:00:00,35.04
2024-01-01 03:00:00,41.07
2024-01-01 04:00:00,38.48
2024-01-01 05:00:00,40.27
2024-01-01 06:00:00,46.52
2024-01-01 07:00:00,43.86
2024-01-01 08:00:00,38.94
2024-01-01 09:00:00,39.88
2024-01-01 10:00:00,34.03
2024-01-01 11:00:00,30.68
2024-01-01 12:00:00,29.2
2024-01-01 13:00:00,19.12
2024-01-01 14:00:00,16.33
2024-01-01 15:00:00,16.96
2024-01-01 16:00:00,13.48
2024-01-01 17:00:00,16.2
2024-01-01 18:00:00,12.26
2024-01-01 19:00:00,11.49
2024-01-01 20:00:00,21.85
2024-01-01 21:00:00,19.37
2024-01-01 22:00:00,23.57
2024-01-01 23:00:00,22.91
2024-01-02 00:00:00,29.62
2024-01-02 01:00:00,35.65
2024-01-02 02:00:00,35.66
2024-01-02 03:00:00,43.51
2024-01-02 04:00:00,43.12
2024-01-02 05:00:00,45.69
2024-01-02 06:00:00,45.4
2024-01-02 07:00:00,52.38
2024-01-02 08:00:00,45.4
2024-01-02 09:00:00,39.98
2024-01-02 10:00:00,42.61
2024-01-02 11:00:00,32.95
2024-01-02 12:00:00,33.43
2024-01-02 13:00:00,23.1
2024-01-02 14:00:00,21.43
2024-01-02 15:00:00,22.93
2024-01-02 16:00:00,22.2
2024-01-02 17:00:00,19.02
2024-01-02 18:00:00,17.65
2024-01-02 19:00:00,17.6
2024-01-02 20:00:00,15.55
2024-01-02 21:00:00,20.18
2024-01-02 22:00:00,24.03
2024-01-02 23:00:00,32.15
2024-01-03 00:00:00,33.83
2024-01-03 01:00:00,31.32
2024-01-03 02:00:00,41.12
2024-01-03 03:00:00,42.0
2024-01-03 04:00:00,43.41
2024-01-03 05:00:00,48.66
2024-01-03 06:00:00,50.3
2024-01-03 07:00:00,49.36
2024-01-03 08:00:00,42.4
2024-01-03 09:00:00,41.45
2024-01-03 10:00:00,40.1
2024-01-03 11:00:00,38.25
2024-01-03 12:00:00,29.82
2024-01-03 13:00:00,26.62
2024-01-03 14:00:00,20.05
2024-01-03 15:00:00,16.46
2024-01-03 16:00:00,19.89
2024-01-03 17:00:00,19.8
2024-01-03 18:00:00,14.77
2024-01-03 19:00:00,18.27
2024-01-03 20:00:00,17.6
2024-01-03 21:00:00,16.71
2024-01-03 22:00:00,22.58
2024-01-03 23:00:00,29.47
2024-01-04 00:00:00,28.36
2024-01-04 01:00:00,36.78
2024-01-04 02:00:00,27.56
2024-01-04 03:00:00,40.71
2024-01-04 04:00:00,40.61
2024-01-04 05:00:00,40.66
